Briefdatum,Briefschreiber,Briefempfänger
1629-05-31,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Wolfgang Ratke
1629-06-08,Prinzessin Sophia Agnes von Radziwill,Wolfgang Ratke
1629-06-14,Wolfgang Ratke,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1629-06-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-06-29,Martin Opitz,Augustus Buchner
1629-07-08,Johann Sternberg,Graf Otto zur Lippe-Brake
1629-07-15,Augustus Buchner,Martin Opitz
1629-09-09,Augustus Buchner,Martin Opitz
1629-09-13,Fürstin Sophia von Anhalt-Köthen,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1629-10-05,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-10-09,Wilhelm von Kalcheim gen. Lohausen,Herzog Adolph Friedrich I. von Mecklenburg-Schwerin
1629-10-13,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-10-28,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-11-04,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-11-04,Landgraf Wilhelm V. von Hessen-Kassel,Diederich von dem Werder
1629-12-01,Fürst Ludwig,Hans Christoph (Rabe) von Pappenheim
1629-12-22,Herzog Adolph Friedrich I. von Mecklenburg-Schwerin,Wilhelm von Kalcheim gen. Lohausen
1629-12-24,Fürst Christian I. von Anhalt-Bernburg,Graf Christian von Waldeck-Wildungen
1629-12-31,Martin Opitz,Augustus Buchner
1630-01-01,Gräfin Anna von Waldeck-Eisenberg,Fürstin Sophia von Anhalt-Köthen
1630-02-03,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-02-09,Fürst August von Anhalt-Plötzkau,Fürst Christian II. von Anhalt-Bernburg
1630-03-20,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Fürstin Dorothea von Anhalt-Dessau
1630-03-30,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1630-04-03,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1630-04-06,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-04-10,Johann von Mario,Friedrich von Schilling
1630-04-20,Hans Christoph (Rabe) von Pappenheim im Namen Landgraf Wilhelms V. von Hessen-Kassel,Georg Philipp von Meysenbug
1630-04-20,Hans Christoph (Rabe) von Pappenheim im Namen Landgraf Wilhelms V. von Hessen-Kassel,Heinrich von Oeynhausen
1630-04-26,Herzogin Anna Sabina von Württemberg-Juliusburg,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-05-09,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1630-07-18,Peter von Sebottendorf,Fürst Ludwig
1630-07-23,Prinzessin Elisabeth Eleonora von Radziwill,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-07-25,Martin Opitz,Burggraf und Herr Christoph zu Dohna
1630-08-13,Graf Simon Ludwig zur Lippe-Detmold,Fürst Ludwig
1630-09-21,Johann von Mario,Friedrich von Schilling
1630-09-24,Johann von Mario,Friedrich von Schilling
1630-10-01,Johann von Mario,Friedrich von Schilling
1630-10-11,Johann von Mario,Friedrich von Schilling
1630-10-25,Graf Wolrad IV. von Waldeck-Eisenberg,Fürst Ludwig
1630-11-02,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1631-01-01,Tobias Hübner,die Fruchtbringende Gesellschaft
1631-01-08,Fürstin Loysa Amalia von Anhalt-Bernburg,Gräfin Maria Magdalena zur Lippe-Detmold
1631-01-13,Johann von Mario,Friedrich von Schilling
1631-01-19,Melchior Goldast von Haiminsfeld,Martin Opitz
1631-02-24,Johann von Mario,Friedrich von Schilling
1631-03-11,Johann von Mario,Friedrich von Schilling
1631-04-11,Fürst Ludwig,die Fruchtbringende Gesellschaft
1631-07-03,Augustus Buchner,Martin Opitz
1631-12-05,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Johann Le Clerq
1632-04-16,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Wolfgang Ratke
1632-06-26,Fürstin Sibylla Elisabeth von Anhalt-Bernburg,Gräfin Elisabeth von Waldeck-Wildungen
1632-07-15,Frau Sabina von Wartenberg,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1632-07-29,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1632-12-01,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Friherre Axel Oxenstierna
1633-03-11,Martin Opitz,Augustus Buchner
1633-06-03,Fürst August von Anhalt-Plötzkau und Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1633-09-18,Augustus Buchner,Martin Opitz
1633-09-20,Herzog Wilhelm IV. von Sachsen-Weimar,Fürst Ludwig
1633-12-23,Martin Opitz,David von Schweinitz
1634-01-07,Fürstin Sibylla Elisabeth von Anhalt-Bernburg,Fürst Ludwig
1634-04-21,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Friherre Axel Oxenstierna
1634-06-04,Herzog Ernst I. von Sachsen-Weimar(-Gotha),Fürst Ludwig
1634-06-09,Fürst Ludwig,Herzog Ernst I. von Sachsen-Weimar(-Gotha)
1634-06-28,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1634-07-16,Prinzessin Loysa Amalia von Anhalt-Bernburg,Fürst Ludwig
1634-08-16,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1635-03-12,Herzog Ernst I. von Sachsen-Weimar(-Gotha),Friedrich Hortleder
1635-07-31,Tobias Hübner,Augustus Buchner
1635-11-12,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1636-04-28,Maria Magdalena (von) Stammer,Fürst Ludwig
1636-06-30,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1636-07-03,Johann von Mario,Friedrich von Schilling
1637-01-13,Diederich von dem Werder,Fürst Ludwig
1637-04-21,Landgraf Hermann IV. von Hessen-Rotenburg,Landgraf Wilhelm V. von Hessen-Kassel
1637-04-22,Landgraf Wilhelm V. von Hessen-Kassel,Landgraf Hermann IV. von Hessen-Rotenburg
1637-05-17,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-07-15,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-07-22,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-07-29,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-08-05,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-09-02,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-10-27,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-10-28,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1637-10-28,Diederich von dem Werder,Fürst Ludwig
1637-10-30,Martin Opitz,Friedrich von Schilling
1637-10-31,Diederich von dem Werder,Fürst Ludwig
1637-11-06,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-11-08,Diederich von dem Werder,Fürst Ludwig
1637-11-10,Diederich von dem Werder,Fürst Ludwig
1637-11-12,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-11-12,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1637-11-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-11-17,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1637-11-20,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-11-21,Martin Opitz,Diederich von dem Werder
1637-11-23,Hans Philipp Geuder,Fürst Ludwig
1637-11-24,Hans von Dieskau,Fürst Ludwig
1637-11-26,Martin Opitz,Fürst Ludwig
1637-11-27,Martin Opitz,Friedrich von Schilling
1637-12-08,Martin Opitz,Friedrich von Schilling
1637-12-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-09,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-12-11,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-19,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-20,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-12-21,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-21,Hans Philipp Geuder,Fürst Christian II. von Anhalt-Bernburg
1637-12-22,Diederich von dem Werder,Fürst Ludwig
1637-12-23,Hans Philipp Geuder,Fürst Christian II. von Anhalt-Bernburg
1637-12-24,Hans Philipp Geuder,Fürst Ludwig und Fürst Christian II. von Anhalt-Bernburg
1637-12-26,Graf Otto V. von Holstein-Schaumburg,Fürst Ludwig
1637-12-26,Diederich von dem Werder,Fürst Ludwig
1637-12-27,Diederich von dem Werder,Fürst Ludwig
1637-12-31,Diederich von dem Werder,Fürst Ludwig
1638-01-01,Cuno Ordomar von Bodenhausen,Diederich von dem Werder
1638-01-01,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-01-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-01-10,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-01-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-01-22,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-01-25,Fürst Ludwig,Graf Otto V. von Holstein-Schaumburg
1638-01-25,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-01-26,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-01-28,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-02-02,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-02-07,Dietlof von Tiesenhausen,Fürst Ludwig
1638-02-10,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1638-02-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-02-21,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-02-26,Diederich von dem Werder,Fürst Ludwig
1638-03-02,Fürst Ludwig,Fürst Ernst Gottlieb von Anhalt-Plötzkau
1638-03-02,Fürst Ludwig,Hans von Dieskau
